link,price,actual_price,ratings,color,Brand,Model,Processor,RAM,Storage
https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-8gb-ram-512gb-ssd-156-120hz-fhd-black-i128524305.html,64500.0,64500.0,1.0,Black,Dell,Vostro 3520 ,i5 12th Gen,8GB RAM,512GB SSD
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-ram-256gb-ssd-156-fhd-120hz-display-laptop-i128510049.html,49999.0,49999.0,1.0,Black,Dell,Vostro 3520 ,i3 12th Gen,8GB RAM,256GB SSD
https://www.daraz.com.np/products/dell-7390-i7-8th-gen-16gb-ram-256gb-ssd-360-touchscreen-with-backlit-keyboard-i113806447.html,83000.0,83000.0,1.0,Black,Dell,7390 ,i7 8th Gen,Unknown,Unknown
https://www.daraz.com.np/products/dell-vostro-3520-core-i5-12th-gen-12gb-ram512-gb-ssd156-fhdwin-11-i129162509.html,67990.0,87990.0,1.0,Black,Dell,Vostro 3520 Core ,i5 12th Gen,12GB RAM,Unknown
https://www.daraz.com.np/products/lenovo-ideapad-3-amd-ryzen-5-5500u-processor-8gb-ram-256-gb-ssd-14-full-hd-windows-10-i121487444.html,63500.0,63500.0,1.0,Silver,Lenovo,Ideapad 3 ,AMD Ryzen,8GB RAM,Unknown
https://www.daraz.com.np/products/honor-magicbook-x14-2023-12th-gen-intel-core-i5-12450h-8gb512gb-nvme-ssd-14-inch-3556-cm-fhd-ips-anti-glare-tl-laptopwin-11backlit-keyboardfingerprint-login143kg-gray-i128169275.html,119000.0,119000.0,1.0,Space Grey,HONOR,MagicBook X14 ,i5-12450H,Unknown,Unknown
https://www.daraz.com.np/products/hp-pavilion-x360-14-core-i5-1035g1-8gb-ram-256gb-ssd-convertible-laptop-i114689725.html,93999.0,99999.0,1.0,Silver,HP, Core ,i5,8GB RAM,256GB SSD
https://www.daraz.com.np/products/hp-victus-16-amd-ryzen-7-6800h-8gb-ddr-5-ram-512gb-ssd-4gb-rtx-3050-161144hz-fhd-i129027509.html,118000.0,120000.0,1.0,Black,HP,Victus 16 Amd Ryzen 7 6800H 8GB DDR,Unknown,Unknown,512GB SSD
https://www.daraz.com.np/products/dell-vostro-15-3520-intel-core-i5-1235u-processor-8gb-ram-512gb-ssd-intel-uhd-graphics-card-156-fhd-display-i129990928.html,66000.0,66000.0,1.0,Black,Dell,Vostro 15 3520 ,i5,8GB RAM,512GB SSD
https://www.daraz.com.np/products/hp-envy-x360-14-i7-13th-gen-16gb-ram-1tb-ssd-14-fhd-360-touch-screen-display-i128206349.html,155000.0,155000.0,1.0,Silver,HP,Envy x360 14 ,i7 13th Gen,16GB RAM,Unknown
https://www.daraz.com.np/products/hp-pavilion-14-x360-intel-core-i5-12th-generation-8gb-ram-512gb-ssd-140-touch-360-i128475725.html,94000.0,94000.0,1.0,Silver,HP,Pavilion 14 X360 Intel Core ,i5 12th Gen,Unknown,512GB SSD
https://www.daraz.com.np/products/dell-vostro-i5-11th-gen-8512-i128194710.html,79999.0,79999.0,1.0,Black,Dell,Vostro ,i5-11th,Unknown,Unknown
https://www.daraz.com.np/products/dell-vostro-3510-i5-1135g7-11th-gen-8gb-ram-512gb-ssd-intel-uhd-graphic-156-fhd-i119078861.html,75000.0,75000.0,1.0,Black,Dell, ,i5-1135G7,8GB RAM,512GB SSD
